Timestamp,Type,Status,Pool,Funding Type,Direction,Amount (INR),MCC,Merchant,Source IFSC,Source Account,Gateway Ref
2026-04-23T07:36:19.250507Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:36:19.245346Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:36:19.186669Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:36:19.186629Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:35:19.008965Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:35:18.995967Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:35:18.939727Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:35:18.939727Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:34:18.774656Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:34:18.758743Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:34:18.710212Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:34:18.710121Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:33:18.504737Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:33:18.504733Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:33:18.442287Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:33:18.442285Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:32:18.268574Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:32:18.234236Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:32:18.232317Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:32:18.190556Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:32:18.135890Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:31:17.915659Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:31:17.906772Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:31:17.843880Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:31:17.843845Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:30:17.670802Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:30:17.662243Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:30:17.612374Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:30:17.612329Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:29:17.463149Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:29:17.449932Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:29:17.400293Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:29:17.400230Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:28:17.206339Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:28:17.197320Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:28:17.150625Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:28:17.150537Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:27:16.981013Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:27:16.971060Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:27:16.921982Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:27:16.921982Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:26:16.764974Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:26:16.753193Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:26:16.705226Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:26:16.705162Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:25:16.562452Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:25:16.525074Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:25:16.514806Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:25:16.467201Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:25:16.466548Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:24:16.273277Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:24:16.268671Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:24:16.230824Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:24:16.217336Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:23:16.011990Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:23:15.999031Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:23:15.969215Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:23:15.945689Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:22:15.875202Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:22:15.850257Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:22:15.751773Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:22:15.703169Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:21:15.766709Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:21:15.737100Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:21:15.522321Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:21:15.469434Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:20:15.641428Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:20:15.598390Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:20:15.242320Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:20:15.187430Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:19:15.475901Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:19:15.425929Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:19:15.012451Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:19:14.946970Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:18:15.295764Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:18:15.252479Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:18:15.208333Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:18:14.668593Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:18:14.601524Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:17:15.075279Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:17:15.045062Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:17:14.430735Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:17:14.395787Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:16:14.936861Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:16:14.861123Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:16:14.200302Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:16:14.138341Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:15:14.710115Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:15:14.655922Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:15:13.972791Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:15:13.923263Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:14:14.526146Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:14:14.501938Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:14:14.463039Z,,settled,others,,outbound,300.00,,,,,
2026-04-23T07:14:14.417763Z,,posted,others,trust,inbound,300.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:14:13.827183Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:14:13.799235Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:14:13.767214Z,,settled,others,,outbound,300.00,,,,,
2026-04-23T07:14:13.719959Z,,posted,others,trust,inbound,300.00,,,NHIL0000001,TRUST000001,
