Timestamp,Type,Status,Pool,Funding Type,Direction,Amount (INR),MCC,Merchant,Source IFSC,Source Account,Gateway Ref
2026-04-23T07:29:17.449932Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:29:17.400230Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:28:17.197320Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:28:17.150537Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:27:16.981013Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:27:16.921982Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:26:16.753193Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:26:16.705162Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:25:16.562452Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:25:16.525074Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:25:16.467201Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:24:16.268671Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:24:16.217336Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:23:16.011990Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:23:15.969215Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:22:15.875202Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:22:15.850257Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:21:15.766709Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:21:15.737100Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:20:15.641428Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:20:15.598390Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:19:15.475901Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:19:15.425929Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:18:15.295764Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:18:15.252479Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:18:15.208333Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:17:15.075279Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:17:15.045062Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:16:14.936861Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:16:14.861123Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:15:14.710115Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:15:14.655922Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:14:14.526146Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:14:14.501938Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:14:14.463039Z,,settled,others,,outbound,300.00,,,,,
2026-04-23T07:14:14.417763Z,,posted,others,trust,inbound,300.00,,,NHIL0000001,TRUST000001,
